 Date__(UT)__HR:MN, , ,            delta,     deldot,  Tru_Anom,
****************************************************************
$$SOE
 2006-Oct-18 15:00, , , 4.32325181300630, -2.9237051,  249.0484,
 2006-Oct-18 18:00, , , 4.32304072907228, -2.9239614,  249.0616,
 2006-Oct-18 21:00, , , 4.32282962663940, -2.9242176,  249.0749,
 2006-Oct-19 00:00, , , 4.32261850571711, -2.9244736,  249.0881,
 2006-Oct-19 03:00, , , 4.32240736631486, -2.9247295,  249.1013,
 2006-Oct-19 06:00, , , 4.32219620844212, -2.9249853,  249.1146,
 2006-Oct-19 09:00, , , 4.32198503210832, -2.9252409,  249.1278,
 2006-Oct-19 12:00, , , 4.32177383732294, -2.9254964,  249.1411,
 2006-Oct-19 15:00, , , 4.32156262409545, -2.9257518,  249.1543,
 2006-Oct-19 18:00, , , 4.32135139243531, -2.9260071,  249.1675,
 2006-Oct-19 21:00, , , 4.32114014235199, -2.9262622,  249.1808,
 2006-Oct-20 00:00, , , 4.32092887385498, -2.9265172,  249.1940,
 2006-Oct-20 03:00, , , 4.32071758695375, -2.9267720,  249.2073,
 2006-Oct-20 06:00, , , 4.32050628165779, -2.9270268,  249.2205,
 2006-Oct-20 09:00, , , 4.32029495797660, -2.9272814,  249.2338,
 2006-Oct-20 12:00, , , 4.32008361591966, -2.9275358,  249.2470,
 2006-Oct-20 15:00, , , 4.31987225549646, -2.9277902,  249.2603,
 2006-Oct-20 18:00, , , 4.31966087671652, -2.9280444,  249.2735,
 2006-Oct-20 21:00, , , 4.31944947958933, -2.9282984,  249.2868,
 2006-Oct-21 00:00, , , 4.31923806412440, -2.9285524,  249.3001,
 2006-Oct-21 03:00, , , 4.31902663033125, -2.9288062,  249.3133,
 2006-Oct-21 06:00, , , 4.31881517821939, -2.9290598,  249.3266,
 2006-Oct-21 09:00, , , 4.31860370779835, -2.9293134,  249.3398,
 2006-Oct-21 12:00, , , 4.31839221907764, -2.9295668,  249.3531,
 2006-Oct-21 15:00, , , 4.31818071206679, -2.9298201,  249.3664,
 2006-Oct-21 18:00, , , 4.31796918677534, -2.9300732,  249.3796,
 2006-Oct-21 21:00, , , 4.31775764321282, -2.9303262,  249.3929,
 2006-Oct-22 00:00, , , 4.31754608138877, -2.9305791,  249.4062,
 2006-Oct-22 03:00, , , 4.31733450131274, -2.9308319,  249.4194,
 2006-Oct-22 06:00, , , 4.31712290299426, -2.9310845,  249.4327,
 2006-Oct-22 09:00, , , 4.31691128644290, -2.9313370,  249.4460,
 2006-Oct-22 12:00, , , 4.31669965166821, -2.9315893,  249.4593,
 2006-Oct-22 15:00, , , 4.31648799867974, -2.9318415,  249.4725,
 2006-Oct-22 18:00, , , 4.31627632748707, -2.9320936,  249.4858,
 2006-Oct-22 21:00, , , 4.31606463809974, -2.9323456,  249.4991,
 2006-Oct-23 00:00, , , 4.31585293052735, -2.9325974,  249.5124,
 2006-Oct-23 03:00, , , 4.31564120477946, -2.9328491,  249.5256,
 2006-Oct-23 06:00, , , 4.31542946086565, -2.9331007,  249.5389,
 2006-Oct-23 09:00, , , 4.31521769879550, -2.9333521,  249.5522,
 2006-Oct-23 12:00, , , 4.31500591857859, -2.9336034,  249.5655,
 2006-Oct-23 15:00, , , 4.31479412022453, -2.9338545,  249.5788,
 2006-Oct-23 18:00, , , 4.31458230374290, -2.9341055,  249.5921,
 2006-Oct-23 21:00, , , 4.31437046914329, -2.9343564,  249.6053,
 2006-Oct-24 00:00, , , 4.31415861643532, -2.9346072,  249.6186,
 2006-Oct-24 03:00, , , 4.31394674562859, -2.9348578,  249.6319,
 2006-Oct-24 06:00, , , 4.31373485673271, -2.9351083,  249.6452,
 2006-Oct-24 09:00, , , 4.31352294975728, -2.9353587,  249.6585,
 2006-Oct-24 12:00, , , 4.31331102471194, -2.9356089,  249.6718,
 2006-Oct-24 15:00, , , 4.31309908160629, -2.9358590,  249.6851,
 2006-Oct-24 18:00, , , 4.31288712044997, -2.9361090,  249.6984,
 2006-Oct-24 21:00, , , 4.31267514125260, -2.9363588,  249.7117,
 2006-Oct-25 00:00, , , 4.31246314402382, -2.9366085,  249.7250,
 2006-Oct-25 03:00, , , 4.31225112877326, -2.9368580,  249.7383,
 2006-Oct-25 06:00, , , 4.31203909551057, -2.9371075,  249.7516,
 2006-Oct-25 09:00, , , 4.31182704424539, -2.9373568,  249.7649,
 2006-Oct-25 12:00, , , 4.31161497498736, -2.9376059,  249.7782,
 2006-Oct-25 15:00, , , 4.31140288774615, -2.9378549,  249.7915,
 2006-Oct-25 18:00, , , 4.31119078253140, -2.9381038,  249.8048,
 2006-Oct-25 21:00, , , 4.31097865935278, -2.9383526,  249.8181,
 2006-Oct-26 00:00, , , 4.31076651821996, -2.9386012,  249.8314,
 2006-Oct-26 03:00, , , 4.31055435914260, -2.9388497,  249.8448,
 2006-Oct-26 06:00, , , 4.31034218213037, -2.9390981,  249.8581,
 2006-Oct-26 09:00, , , 4.31012998719295, -2.9393463,  249.8714,
 2006-Oct-26 12:00, , , 4.30991777434002, -2.9395944,  249.8847,
 2006-Oct-26 15:00, , , 4.30970554358126, -2.9398423,  249.8980,
 2006-Oct-26 18:00, , , 4.30949329492636, -2.9400901,  249.9113,
 2006-Oct-26 21:00, , , 4.30928102838502, -2.9403378,  249.9246,
 2006-Oct-27 00:00, , , 4.30906874396692, -2.9405854,  249.9380,
 2006-Oct-27 03:00, , , 4.30885644168178, -2.9408328,  249.9513,
 2006-Oct-27 06:00, , , 4.30864412153929, -2.9410801,  249.9646,
 2006-Oct-27 09:00, , , 4.30843178354916, -2.9413272,  249.9779,
 2006-Oct-27 12:00, , , 4.30821942772110, -2.9415742,  249.9913,
 2006-Oct-27 15:00, , , 4.30800705406483, -2.9418211,  250.0046,
 2006-Oct-27 18:00, , , 4.30779466259006, -2.9420679,  250.0179,
 2006-Oct-27 21:00, , , 4.30758225330653, -2.9423145,  250.0312,
 2006-Oct-28 00:00, , , 4.30736982622395, -2.9425609,  250.0446,
 2006-Oct-28 03:00, , , 4.30715738135207, -2.9428073,  250.0579,
 2006-Oct-28 06:00, , , 4.30694491870061, -2.9430535,  250.0712,
 2006-Oct-28 09:00, , , 4.30673243827931, -2.9432996,  250.0846,
 2006-Oct-28 12:00, , , 4.30651994009792, -2.9435455,  250.0979,
 2006-Oct-28 15:00, , , 4.30630742416618, -2.9437913,  250.1113,
 2006-Oct-28 18:00, , , 4.30609489049385, -2.9440370,  250.1246,
 2006-Oct-28 21:00, , , 4.30588233909068, -2.9442825,  250.1379,
 2006-Oct-29 00:00, , , 4.30566976996642, -2.9445279,  250.1513,
 2006-Oct-29 03:00, , , 4.30545718313085, -2.9447731,  250.1646,
 2006-Oct-29 06:00, , , 4.30524457859373, -2.9450183,  250.1780,
 2006-Oct-29 09:00, , , 4.30503195636483, -2.9452632,  250.1913,
 2006-Oct-29 12:00, , , 4.30481931645392, -2.9455081,  250.2046,
 2006-Oct-29 15:00, , , 4.30460665887079, -2.9457528,  250.2180,
 2006-Oct-29 18:00, , , 4.30439398362521, -2.9459974,  250.2313,
 2006-Oct-29 21:00, , , 4.30418129072697, -2.9462418,  250.2447,
 2006-Oct-30 00:00, , , 4.30396858018587, -2.9464862,  250.2580,
 2006-Oct-30 03:00, , , 4.30375585201169, -2.9467303,  250.2714,
 2006-Oct-30 06:00, , , 4.30354310621424, -2.9469744,  250.2848,
 2006-Oct-30 09:00, , , 4.30333034280333, -2.9472183,  250.2981,
 2006-Oct-30 12:00, , , 4.30311756178874, -2.9474620,  250.3115,
 2006-Oct-30 15:00, , , 4.30290476318030, -2.9477057,  250.3248,
 2006-Oct-30 18:00, , , 4.30269194698783, -2.9479492,  250.3382,
 2006-Oct-30 21:00, , , 4.30247911322113, -2.9481925,  250.3515,
 2006-Oct-31 00:00, , , 4.30226626189003, -2.9484357,  250.3649,
 2006-Oct-31 03:00, , , 4.30205339300436, -2.9486788,  250.3783,
 2006-Oct-31 06:00, , , 4.30184050657395, -2.9489218,  250.3916,
 2006-Oct-31 09:00, , , 4.30162760260863, -2.9491646,  250.4050,
 2006-Oct-31 12:00, , , 4.30141468111824, -2.9494073,  250.4184,
 2006-Oct-31 15:00, , , 4.30120174211263, -2.9496498,  250.4317,
 2006-Oct-31 18:00, , , 4.30098878560163, -2.9498922,  250.4451,
 2006-Oct-31 21:00, , , 4.30077581159511, -2.9501345,  250.4585,
 2006-Nov-01 00:00, , , 4.30056282010290, -2.9503766,  250.4719,
 2006-Nov-01 03:00, , , 4.30034981113488, -2.9506186,  250.4852,
 2006-Nov-01 06:00, , , 4.30013678470091, -2.9508605,  250.4986,
 2006-Nov-01 09:00, , , 4.29992374081084, -2.9511022,  250.5120,
 2006-Nov-01 12:00, , , 4.29971067947456, -2.9513438,  250.5254,
 2006-Nov-01 15:00, , , 4.29949760070193, -2.9515852,  250.5387,
 2006-Nov-01 18:00, , , 4.29928450450283, -2.9518265,  250.5521,
 2006-Nov-01 21:00, , , 4.29907139088715, -2.9520677,  250.5655,
 2006-Nov-02 00:00, , , 4.29885825986477, -2.9523088,  250.5789,
 2006-Nov-02 03:00, , , 4.29864511144558, -2.9525497,  250.5923,
 2006-Nov-02 06:00, , , 4.29843194563948, -2.9527904,  250.6057,
 2006-Nov-02 09:00, , , 4.29821876245637, -2.9530311,  250.6190,
 2006-Nov-02 12:00, , , 4.29800556190613, -2.9532715,  250.6324,
 2006-Nov-02 15:00, , , 4.29779234399869, -2.9535119,  250.6458,
 2006-Nov-02 18:00, , , 4.29757910874396, -2.9537521,  250.6592,
 2006-Nov-02 21:00, , , 4.29736585615184, -2.9539922,  250.6726,
 2006-Nov-03 00:00, , , 4.29715258623225, -2.9542321,  250.6860,
 2006-Nov-03 03:00, , , 4.29693929899512, -2.9544719,  250.6994,
 2006-Nov-03 06:00, , , 4.29672599445038, -2.9547116,  250.7128,
 2006-Nov-03 09:00, , , 4.29651267260795, -2.9549511,  250.7262,
 2006-Nov-03 12:00, , , 4.29629933347777, -2.9551905,  250.7396,
 2006-Nov-03 15:00, , , 4.29608597706977, -2.9554298,  250.7530,
 2006-Nov-03 18:00, , , 4.29587260339390, -2.9556689,  250.7664,
 2006-Nov-03 21:00, , , 4.29565921246010, -2.9559079,  250.7798,
 2006-Nov-04 00:00, , , 4.29544580427833, -2.9561467,  250.7932,
 2006-Nov-04 03:00, , , 4.29523237885854, -2.9563854,  250.8066,
 2006-Nov-04 06:00, , , 4.29501893621069, -2.9566240,  250.8200,
 2006-Nov-04 09:00, , , 4.29480547634474, -2.9568624,  250.8334,
 2006-Nov-04 12:00, , , 4.29459199927065, -2.9571007,  250.8468,
 2006-Nov-04 15:00, , , 4.29437850499840, -2.9573388,  250.8602,
 2006-Nov-04 18:00, , , 4.29416499353796, -2.9575768,  250.8736,
 2006-Nov-04 21:00, , , 4.29395146489931, -2.9578147,  250.8870,
 2006-Nov-05 00:00, , , 4.29373791909243, -2.9580524,  250.9005,
 2006-Nov-05 03:00, , , 4.29352435612731, -2.9582900,  250.9139,
 2006-Nov-05 06:00, , , 4.29331077601393, -2.9585275,  250.9273,
 2006-Nov-05 09:00, , , 4.29309717876230, -2.9587648,  250.9407,
 2006-Nov-05 12:00, , , 4.29288356438242, -2.9590020,  250.9541,
 2006-Nov-05 15:00, , , 4.29266993288427, -2.9592390,  250.9676,
 2006-Nov-05 18:00, , , 4.29245628427788, -2.9594759,  250.9810,
 2006-Nov-05 21:00, , , 4.29224261857325, -2.9597127,  250.9944,
 2006-Nov-06 00:00, , , 4.29202893578040, -2.9599493,  251.0078,
 2006-Nov-06 03:00, , , 4.29181523590934, -2.9601858,  251.0212,
 2006-Nov-06 06:00, , , 4.29160151897010, -2.9604222,  251.0347,
 2006-Nov-06 09:00, , , 4.29138778497270, -2.9606584,  251.0481,
 2006-Nov-06 12:00, , , 4.29117403392719, -2.9608945,  251.0615,
 2006-Nov-06 15:00, , , 4.29096026584358, -2.9611304,  251.0750,
 2006-Nov-06 18:00, , , 4.29074648073192, -2.9613662,  251.0884,
 2006-Nov-06 21:00, , , 4.29053267860225, -2.9616018,  251.1018,
 2006-Nov-07 00:00, , , 4.29031885946462, -2.9618373,  251.1153,
 2006-Nov-07 03:00, , , 4.29010502332908, -2.9620727,  251.1287,
 2006-Nov-07 06:00, , , 4.28989117020569, -2.9623080,  251.1421,
 2006-Nov-07 09:00, , , 4.28967730010451, -2.9625431,  251.1556,
 2006-Nov-07 12:00, , , 4.28946341303559, -2.9627780,  251.1690,
 2006-Nov-07 15:00, , , 4.28924950900901, -2.9630128,  251.1825,
 2006-Nov-07 18:00, , , 4.28903558803483, -2.9632475,  251.1959,
 2006-Nov-07 21:00, , , 4.28882165012314, -2.9634820,  251.2093,
 2006-Nov-08 00:00, , , 4.28860769528401, -2.9637164,  251.2228,
 2006-Nov-08 03:00, , , 4.28839372352752, -2.9639507,  251.2362,
 2006-Nov-08 06:00, , , 4.28817973486377, -2.9641848,  251.2497,
 2006-Nov-08 09:00, , , 4.28796572930284, -2.9644188,  251.2631,
 2006-Nov-08 12:00, , , 4.28775170685483, -2.9646526,  251.2766,
 2006-Nov-08 15:00, , , 4.28753766752984, -2.9648863,  251.2900,
 2006-Nov-08 18:00, , , 4.28732361133798, -2.9651199,  251.3035,
 2006-Nov-08 21:00, , , 4.28710953828935, -2.9653533,  251.3169,
 2006-Nov-09 00:00, , , 4.28689544839406, -2.9655866,  251.3304,
 2006-Nov-09 03:00, , , 4.28668134166223, -2.9658197,  251.3439,
 2006-Nov-09 06:00, , , 4.28646721810398, -2.9660527,  251.3573,
 2006-Nov-09 09:00, , , 4.28625307772943, -2.9662856,  251.3708,
 2006-Nov-09 12:00, , , 4.28603892054872, -2.9665183,  251.3842,
 2006-Nov-09 15:00, , , 4.28582474657197, -2.9667509,  251.3977,
 2006-Nov-09 18:00, , , 4.28561055580932, -2.9669833,  251.4112,
 2006-Nov-09 21:00, , , 4.28539634827092, -2.9672156,  251.4246,
 2006-Nov-10 00:00, , , 4.28518212396689, -2.9674478,  251.4381,
 2006-Nov-10 03:00, , , 4.28496788290741, -2.9676798,  251.4516,
 2006-Nov-10 06:00, , , 4.28475362510261, -2.9679117,  251.4650,
 2006-Nov-10 09:00, , , 4.28453935056266, -2.9681434,  251.4785,
 2006-Nov-10 12:00, , , 4.28432505929771, -2.9683750,  251.4920,
 2006-Nov-10 15:00, , , 4.28411075131793, -2.9686065,  251.5055,
 2006-Nov-10 18:00, , , 4.28389642663349, -2.9688378,  251.5189,
 2006-Nov-10 21:00, , , 4.28368208525456, -2.9690689,  251.5324,
 2006-Nov-11 00:00, , , 4.28346772719132, -2.9693000,  251.5459,
 2006-Nov-11 03:00, , , 4.28325335245396, -2.9695309,  251.5594,
 2006-Nov-11 06:00, , , 4.28303896105265, -2.9697616,  251.5728,
 2006-Nov-11 09:00, , , 4.28282455299758, -2.9699922,  251.5863,
 2006-Nov-11 12:00, , , 4.28261012829895, -2.9702227,  251.5998,
 2006-Nov-11 15:00, , , 4.28239568696696, -2.9704530,  251.6133,
 2006-Nov-11 18:00, , , 4.28218122901181, -2.9706832,  251.6268,
 2006-Nov-11 21:00, , , 4.28196675444371, -2.9709132,  251.6403,
 2006-Nov-12 00:00, , , 4.28175226327285, -2.9711431,  251.6537,
 2006-Nov-12 03:00, , , 4.28153775550947, -2.9713729,  251.6672,
 2006-Nov-12 06:00, , , 4.28132323116377, -2.9716025,  251.6807,
 2006-Nov-12 09:00, , , 4.28110869024599, -2.9718320,  251.6942,
 2006-Nov-12 12:00, , , 4.28089413276634, -2.9720613,  251.7077,
 2006-Nov-12 15:00, , , 4.28067955873505, -2.9722905,  251.7212,
 2006-Nov-12 18:00, , , 4.28046496816236, -2.9725196,  251.7347,
 2006-Nov-12 21:00, , , 4.28025036105852, -2.9727485,  251.7482,
 2006-Nov-13 00:00, , , 4.28003573743375, -2.9729772,  251.7617,
 2006-Nov-13 03:00, , , 4.27982109729832, -2.9732059,  251.7752,
 2006-Nov-13 06:00, , , 4.27960644066246, -2.9734343,  251.7887,
 2006-Nov-13 09:00, , , 4.27939176753644, -2.9736627,  251.8022,
 2006-Nov-13 12:00, , , 4.27917707793052, -2.9738909,  251.8157,
 2006-Nov-13 15:00, , , 4.27896237185495, -2.9741189,  251.8292,
 2006-Nov-13 18:00, , , 4.27874764932000, -2.9743468,  251.8427,
 2006-Nov-13 21:00, , , 4.27853291033596, -2.9745746,  251.8562,
 2006-Nov-14 00:00, , , 4.27831815491309, -2.9748022,  251.8697,
 2006-Nov-14 03:00, , , 4.27810338306166, -2.9750297,  251.8832,
 2006-Nov-14 06:00, , , 4.27788859479198, -2.9752571,  251.8968,
 2006-Nov-14 09:00, , , 4.27767379011432, -2.9754843,  251.9103,
 2006-Nov-14 12:00, , , 4.27745896903898, -2.9757113,  251.9238,
 2006-Nov-14 15:00, , , 4.27724413157625, -2.9759383,  251.9373,
 2006-Nov-14 18:00, , , 4.27702927773643, -2.9761650,  251.9508,
 2006-Nov-14 21:00, , , 4.27681440752983, -2.9763917,  251.9643,
 2006-Nov-15 00:00, , , 4.27659952096676, -2.9766181,  251.9779,
 2006-Nov-15 03:00, , , 4.27638461805753, -2.9768445,  251.9914,
 2006-Nov-15 06:00, , , 4.27616969881245, -2.9770707,  252.0049,
 2006-Nov-15 09:00, , , 4.27595476324185, -2.9772968,  252.0184,
 2006-Nov-15 12:00, , , 4.27573981135606, -2.9775227,  252.0319,
 2006-Nov-15 15:00, , , 4.27552484316540, -2.9777484,  252.0455,
 2006-Nov-15 18:00, , , 4.27530985868020, -2.9779741,  252.0590,
 2006-Nov-15 21:00, , , 4.27509485791081, -2.9781996,  252.0725,
 2006-Nov-16 00:00, , , 4.27487984086756, -2.9784249,  252.0861,
 2006-Nov-16 03:00, , , 4.27466480756081, -2.9786501,  252.0996,
 2006-Nov-16 06:00, , , 4.27444975800089, -2.9788752,  252.1131,
 2006-Nov-16 09:00, , , 4.27423469219817, -2.9791001,  252.1267,
 2006-Nov-16 12:00, , , 4.27401961016301, -2.9793248,  252.1402,
 2006-Nov-16 15:00, , , 4.27380451190576, -2.9795495,  252.1537,
 2006-Nov-16 18:00, , , 4.27358939743680, -2.9797740,  252.1673,
 2006-Nov-16 21:00, , , 4.27337426676649, -2.9799983,  252.1808,
 2006-Nov-17 00:00, , , 4.27315911990521, -2.9802225,  252.1944,
 2006-Nov-17 03:00, , , 4.27294395686333, -2.9804465,  252.2079,
 2006-Nov-17 06:00, , , 4.27272877765126, -2.9806705,  252.2215,
 2006-Nov-17 09:00, , , 4.27251358227935, -2.9808942,  252.2350,
 2006-Nov-17 12:00, , , 4.27229837075802, -2.9811178,  252.2485,
 2006-Nov-17 15:00, , , 4.27208314309766, -2.9813413,  252.2621,
 2006-Nov-17 18:00, , , 4.27186789930866, -2.9815646,  252.2756,
 2006-Nov-17 21:00, , , 4.27165263940143, -2.9817878,  252.2892,
 2006-Nov-18 00:00, , , 4.27143736338638, -2.9820109,  252.3028,
 2006-Nov-18 03:00, , , 4.27122207127393, -2.9822338,  252.3163,
 2006-Nov-18 06:00, , , 4.27100676307448, -2.9824565,  252.3299,
 2006-Nov-18 09:00, , , 4.27079143879845, -2.9826791,  252.3434,
 2006-Nov-18 12:00, , , 4.27057609845629, -2.9829016,  252.3570,
 2006-Nov-18 15:00, , , 4.27036074205840, -2.9831239,  252.3705,
 2006-Nov-18 18:00, , , 4.27014536961523, -2.9833461,  252.3841,
 2006-Nov-18 21:00, , , 4.26992998113721, -2.9835681,  252.3977,
 2006-Nov-19 00:00, , , 4.26971457663479, -2.9837900,  252.4112,
 2006-Nov-19 03:00, , , 4.26949915611840, -2.9840118,  252.4248,
 2006-Nov-19 06:00, , , 4.26928371959851, -2.9842334,  252.4384,
 2006-Nov-19 09:00, , , 4.26906826708556, -2.9844548,  252.4519,
 2006-Nov-19 12:00, , , 4.26885279859002, -2.9846761,  252.4655,
 2006-Nov-19 15:00, , , 4.26863731412233, -2.9848973,  252.4791,
 2006-Nov-19 18:00, , , 4.26842181369299, -2.9851183,  252.4926,
 2006-Nov-19 21:00, , , 4.26820629731244, -2.9853392,  252.5062,
 2006-Nov-20 00:00, , , 4.26799076499117, -2.9855599,  252.5198,
 2006-Nov-20 03:00, , , 4.26777521673965, -2.9857805,  252.5334,
 2006-Nov-20 06:00, , , 4.26755965256838, -2.9860009,  252.5470,
 2006-Nov-20 09:00, , , 4.26734407248783, -2.9862212,  252.5605,
 2006-Nov-20 12:00, , , 4.26712847650851, -2.9864414,  252.5741,
 2006-Nov-20 15:00, , , 4.26691286464090, -2.9866614,  252.5877,
 2006-Nov-20 18:00, , , 4.26669723689550, -2.9868812,  252.6013,
 2006-Nov-20 21:00, , , 4.26648159328282, -2.9871009,  252.6149,
 2006-Nov-21 00:00, , , 4.26626593381338, -2.9873205,  252.6285,
 2006-Nov-21 03:00, , , 4.26605025849767, -2.9875399,  252.6420,
 2006-Nov-21 06:00, , , 4.26583456734622, -2.9877592,  252.6556,
 2006-Nov-21 09:00, , , 4.26561886036955, -2.9879783,  252.6692,
 2006-Nov-21 12:00, , , 4.26540313757818, -2.9881973,  252.6828,
 2006-Nov-21 15:00, , , 4.26518739898264, -2.9884161,  252.6964,
 2006-Nov-21 18:00, , , 4.26497164459348, -2.9886348,  252.7100,
 2006-Nov-21 21:00, , , 4.26475587442121, -2.9888534,  252.7236,
 2006-Nov-22 00:00, , , 4.26454008847640, -2.9890718,  252.7372,
 2006-Nov-22 03:00, , , 4.26432428676958, -2.9892900,  252.7508,
 2006-Nov-22 06:00, , , 4.26410846931130, -2.9895081,  252.7644,
 2006-Nov-22 09:00, , , 4.26389263611212, -2.9897261,  252.7780,
 2006-Nov-22 12:00, , , 4.26367678718260, -2.9899439,  252.7916,
 2006-Nov-22 15:00, , , 4.26346092253330, -2.9901616,  252.8052,
 2006-Nov-22 18:00, , , 4.26324504217478, -2.9903791,  252.8188,
 2006-Nov-22 21:00, , , 4.26302914611763, -2.9905965,  252.8324,
 2006-Nov-23 00:00, , , 4.26281323437241, -2.9908137,  252.8460,
 2006-Nov-23 03:00, , , 4.26259730694971, -2.9910308,  252.8597,
 2006-Nov-23 06:00, , , 4.26238136386011, -2.9912477,  252.8733,
 2006-Nov-23 09:00, , , 4.26216540511419, -2.9914645,  252.8869,
 2006-Nov-23 12:00, , , 4.26194943072255, -2.9916812,  252.9005,
 2006-Nov-23 15:00, , , 4.26173344069580, -2.9918976,  252.9141,
 2006-Nov-23 18:00, , , 4.26151743504451, -2.9921140,  252.9277,
 2006-Nov-23 21:00, , , 4.26130141377932, -2.9923302,  252.9413,
 2006-Nov-24 00:00, , , 4.26108537691082, -2.9925462,  252.9550,
 2006-Nov-24 03:00, , , 4.26086932444962, -2.9927622,  252.9686,
 2006-Nov-24 06:00, , , 4.26065325640635, -2.9929779,  252.9822,
 2006-Nov-24 09:00, , , 4.26043717279162, -2.9931935,  252.9958,
 2006-Nov-24 12:00, , , 4.26022107361607, -2.9934090,  253.0095,
 2006-Nov-24 15:00, , , 4.26000495889032, -2.9936243,  253.0231,
 2006-Nov-24 18:00, , , 4.25978882862502, -2.9938395,  253.0367,
 2006-Nov-24 21:00, , , 4.25957268283079, -2.9940545,  253.0504,
 2006-Nov-25 00:00, , , 4.25935652151828, -2.9942694,  253.0640,
 2006-Nov-25 03:00, , , 4.25914034469814, -2.9944841,  253.0776,
 2006-Nov-25 06:00, , , 4.25892415238102, -2.9946987,  253.0913,
 2006-Nov-25 09:00, , , 4.25870794457758, -2.9949131,  253.1049,
 2006-Nov-25 12:00, , , 4.25849172129847, -2.9951274,  253.1185,
 2006-Nov-25 15:00, , , 4.25827548255437, -2.9953415,  253.1322,
 2006-Nov-25 18:00, , , 4.25805922835594, -2.9955555,  253.1458,
 2006-Nov-25 21:00, , , 4.25784295871385, -2.9957694,  253.1595,
 2006-Nov-26 00:00, , , 4.25762667363878, -2.9959831,  253.1731,
 2006-Nov-26 03:00, , , 4.25741037314141, -2.9961966,  253.1867,
 2006-Nov-26 06:00, , , 4.25719405723244, -2.9964100,  253.2004,
 2006-Nov-26 09:00, , , 4.25697772592254, -2.9966233,  253.2140,
 2006-Nov-26 12:00, , , 4.25676137922241, -2.9968364,  253.2277,
 2006-Nov-26 15:00, , , 4.25654501714275, -2.9970493,  253.2413,
 2006-Nov-26 18:00, , , 4.25632863969427, -2.9972621,  253.2550,
 2006-Nov-26 21:00, , , 4.25611224688767, -2.9974748,  253.2686,
 2006-Nov-27 00:00, , , 4.25589583873366, -2.9976873,  253.2823,
 2006-Nov-27 03:00, , , 4.25567941524296, -2.9978997,  253.2960,
 2006-Nov-27 06:00, , , 4.25546297642628, -2.9981119,  253.3096,
 2006-Nov-27 09:00, , , 4.25524652229436, -2.9983239,  253.3233,
 2006-Nov-27 12:00, , , 4.25503005285792, -2.9985358,  253.3369,
 2006-Nov-27 15:00, , , 4.25481356812768, -2.9987476,  253.3506,
 2006-Nov-27 18:00, , , 4.25459706811440, -2.9989592,  253.3643,
 2006-Nov-27 21:00, , , 4.25438055282881, -2.9991707,  253.3779,
 2006-Nov-28 00:00, , , 4.25416402228165, -2.9993820,  253.3916,
 2006-Nov-28 03:00, , , 4.25394747648368, -2.9995932,  253.4053,
 2006-Nov-28 06:00, , , 4.25373091544565, -2.9998042,  253.4189,
 2006-Nov-28 09:00, , , 4.25351433917831, -3.0000151,  253.4326,
 2006-Nov-28 12:00, , , 4.25329774769244, -3.0002258,  253.4463,
 2006-Nov-28 15:00, , , 4.25308114099879, -3.0004364,  253.4599,
 2006-Nov-28 18:00, , , 4.25286451910814, -3.0006468,  253.4736,
 2006-Nov-28 21:00, , , 4.25264788203126, -3.0008571,  253.4873,
 2006-Nov-29 00:00, , , 4.25243122977893, -3.0010672,  253.5010,
 2006-Nov-29 03:00, , , 4.25221456236194, -3.0012772,  253.5147,
 2006-Nov-29 06:00, , , 4.25199787979108, -3.0014870,  253.5283,
 2006-Nov-29 09:00, , , 4.25178118207713, -3.0016967,  253.5420,
 2006-Nov-29 12:00, , , 4.25156446923089, -3.0019062,  253.5557,
 2006-Nov-29 15:00, , , 4.25134774126317, -3.0021156,  253.5694,
 2006-Nov-29 18:00, , , 4.25113099818477, -3.0023248,  253.5831,
 2006-Nov-29 21:00, , , 4.25091424000650, -3.0025339,  253.5968,
 2006-Nov-30 00:00, , , 4.25069746673917, -3.0027428,  253.6104,
 2006-Nov-30 03:00, , , 4.25048067839360, -3.0029516,  253.6241,
 2006-Nov-30 06:00, , , 4.25026387498061, -3.0031602,  253.6378,
 2006-Nov-30 09:00, , , 4.25004705651103, -3.0033687,  253.6515,
 2006-Nov-30 12:00, , , 4.24983022299570, -3.0035770,  253.6652,
 2006-Nov-30 15:00, , , 4.24961337444544, -3.0037852,  253.6789,
 2006-Nov-30 18:00, , , 4.24939651087109, -3.0039932,  253.6926,
 2006-Nov-30 21:00, , , 4.24917963228351, -3.0042011,  253.7063,
 2006-Dec-01 00:00, , , 4.24896273869353, -3.0044089,  253.7200,
 2006-Dec-01 03:00, , , 4.24874583011202, -3.0046164,  253.7337,
 2006-Dec-01 06:00, , , 4.24852890654982, -3.0048239,  253.7474,
 2006-Dec-01 09:00, , , 4.24831196801780, -3.0050311,  253.7611,
 2006-Dec-01 12:00, , , 4.24809501452682, -3.0052383,  253.7748,
 2006-Dec-01 15:00, , , 4.24787804608775, -3.0054452,  253.7885,
 2006-Dec-01 18:00, , , 4.24766106271148, -3.0056521,  253.8022,
 2006-Dec-01 21:00, , , 4.24744406440886, -3.0058587,  253.8159,
 2006-Dec-02 00:00, , , 4.24722705119080, -3.0060653,  253.8297,
 2006-Dec-02 03:00, , , 4.24701002306816, -3.0062716,  253.8434,
